price,mantage,metrage,sal,otag,tabage,vshed_status,lat,long,tehdad_vahed,asansor,parking,anbari
8999999488,selsebil-shomali,83,1398.0,2.0,۱ از ۴,بازسازی نشده,35.690517028852,51.376148754162,2.0,آسانسور دارد,پارگینگ ندارد,انباری دارد
13500000256,selsebil-shomali,77,1404.0,2.0,۲,بازسازی نشده,35.698948600546,51.372157910864,1.0,آسانسور دارد,پارگینگ ندارد,انباری دارد
8000000000,tehransar-gharbi,80,1404.0,2.0,۳,بازسازی نشده,35.691206629772,51.250178278065,,آسانسور دارد,پارگینگ دارد,انباری دارد
31700000768,hasan-abad-shomali,118,1398.0,3.0,۵,بازسازی نشده,35.73089578071,51.326402350486,1.0,آسانسور دارد,پارگینگ دارد,انباری دارد
5100000256,tehran-gorgan,37,1380.0,1.0,۱ از ۳,بازسازی نشده,35.70692337395,51.450229022782,2.0,آسانسور ندارد,پارگینگ ندارد,انباری ندارد
1728000000,chitgar-lake,90,1404.0,2.0,۲۸ از +۳۰,بازسازی نشده,35.749376844342,51.213342618533,,آسانسور دارد,پارگینگ دارد,انباری دارد
3100000000,shahr-e-ziba,58,1399.0,2.0,۲,بازسازی نشده,35.749201542405,51.291511709193,,آسانسور دارد,پارگینگ دارد,انباری دارد
9699999744,afsariye-jonubi,76,,1.0,۲,بازسازی شده,35.642370213484,51.490714736597,,آسانسور ندارد,پارگینگ ندارد,انباری دارد
69000003584,shahrak-e-gharb,150,1404.0,3.0,۵,بازسازی نشده,35.766682340906,51.366528063361,1.0,آسانسور دارد,پارگینگ دارد,انباری دارد
5000000000,west-shahrak-e-golestan,64,1403.0,2.0,۲ از ۴,بازسازی نشده,35.748519602382,51.223954248652,2.0,آسانسور دارد,پارگینگ دارد,انباری دارد
3700000000,saheb-al-zaman,35,1385.0,1.0,۳,بازسازی نشده,35.674189910555,51.470230768375,1.0,آسانسور ندارد,پارگینگ ندارد,انباری دارد
13500000256,north-janat-abad,70,1385.0,2.0,۱,بازسازی نشده,35.773148440177,51.304477465414,,آسانسور ندارد,پارگینگ دارد,انباری دارد
13600000000,hashemi,110,1404.0,3.0,۱ از ۴,بازسازی نشده,35.681031592265,51.363201057902,1.0,آسانسور دارد,پارگینگ دارد,انباری دارد
4790000025600,ostad-moein,75,1400.0,2.0,۳,بازسازی نشده,35.699057444723,51.344086682091,,آسانسور دارد,پارگینگ دارد,انباری دارد
6300000256,fallah,81,1399.0,2.0,۴,بازسازی نشده,35.660803521691,51.35546742107,,آسانسور دارد,پارگینگ ندارد,انباری دارد
12999999488,north-shahran,60,1404.0,1.0,۵,بازسازی نشده,35.765715387274,51.288629205578,,آسانسور دارد,پارگینگ دارد,انباری دارد
6000000000,tehransar-gharbi,73,1400.0,2.0,۲,بازسازی نشده,35.689916092699,51.248581631345,,آسانسور دارد,پارگینگ دارد,انباری دارد
3500000000,andisheh,61,1402.0,2.0,۲,بازسازی نشده,35.745245521316,51.28538221909,,آسانسور دارد,پارگینگ دارد,انباری دارد
3000000000,andisheh,55,1402.0,1.0,۲,بازسازی نشده,35.744664216945,51.284379867524,,آسانسور دارد,پارگینگ دارد,انباری دارد
2275000064,dolatkhah,65,1399.0,1.0,۲,بازسازی نشده,35.614727350135,51.343847272154,,آسانسور دارد,پارگینگ دارد,انباری دارد
6300000256,dezhkam,79,1387.0,2.0,۴,بازسازی شده,35.681030988018,51.455435956375,1.0,آسانسور ندارد,پارگینگ دارد,انباری دارد
23000000512,poonak,80,1404.0,2.0,۱,بازسازی نشده,35.761694754472,51.327506628097,,آسانسور دارد,پارگینگ دارد,انباری دارد
3000000000,andisheh,58,1402.0,1.0,۲,بازسازی نشده,35.744515053083,51.284825613526,,آسانسور دارد,پارگینگ دارد,انباری دارد
3969999872,tehransar,64,1403.0,2.0,۲,بازسازی نشده,35.690503730664,51.257161202286,,آسانسور دارد,پارگینگ دارد,انباری دارد
7000000000,dr-hoshyar,61,1392.0,2.0,۴,بازسازی نشده,35.693853398507,51.355150872921,1.0,آسانسور ندارد,پارگینگ دارد,انباری دارد
13299999744,dr-hoshyar,79,1398.0,2.0,۲ از ۴,بازسازی نشده,35.698506144469,51.347218367651,2.0,آسانسور دارد,پارگینگ دارد,انباری دارد
12499999744,shahrak-e-koohsar,66,1390.0,1.0,۱ از ۵,بازسازی شده,35.783215997978,51.333482078839,4.0,آسانسور دارد,پارگینگ ندارد,انباری ندارد
47850000384,mirdamad,145,1404.0,3.0,۲,بازسازی نشده,35.759048451235,51.438148198376,,آسانسور دارد,پارگینگ دارد,انباری دارد
6200000000,shahid-asadi,58,1384.0,1.0,۱ از ۲,بازسازی نشده,35.702790607362,51.453068617652,1.0,آسانسور ندارد,پارگینگ دارد,انباری دارد
9699999744,majid-abad,60,1385.0,1.0,۲ از ۴,بازسازی نشده,35.759896315349,51.540117211709,2.0,آسانسور ندارد,پارگینگ دارد,انباری دارد
5699999744,selsebil-shomali,63,1385.0,1.0,همکف از ۴,بازسازی نشده,35.695640563965,51.373802185059,2.0,آسانسور ندارد,پارگینگ ندارد,انباری ندارد
5800000000,jey,69,1397.0,1.0,۱,بازسازی نشده,35.678173309226,51.359855183994,,آسانسور دارد,پارگینگ ندارد,انباری دارد
4600000000,sarsabil,58,1384.0,1.0,همکف از ۵,بازسازی نشده,35.684622419896,51.379427255294,3.0,آسانسور دارد,پارگینگ دارد,انباری دارد
28500000768,south-janat-abad,123,1391.0,2.0,۴,بازسازی نشده,35.747832347832,51.298219768494,,آسانسور دارد,پارگینگ دارد,انباری دارد
449999994880,vanak,200,1403.0,3.0,۴ از ۵,بازسازی نشده,35.757231818834,51.407397418475,1.0,آسانسور دارد,پارگینگ دارد,انباری دارد
50500001792,pasdaran,155,1399.0,3.0,۳ از ۵,بازسازی شده,35.766958921679,51.462836081401,2.0,آسانسور دارد,پارگینگ دارد,انباری دارد
9200000000,selsebil-shomali,60,1402.0,1.0,۵ از ۵,بازسازی نشده,35.693932011799,51.372674997496,2.0,آسانسور دارد,پارگینگ دارد,انباری دارد
7000000000,shahr-e-ziba,87,1394.0,2.0,۲,بازسازی نشده,35.748714893934,51.291435407511,,آسانسور دارد,پارگینگ دارد,انباری دارد
5720000000,ekbatan,72,1402.0,2.0,۱,بازسازی نشده,35.716907770639,51.305073484264,,آسانسور دارد,پارگینگ دارد,انباری دارد
6000000000,east-shareq,67,1386.0,1.0,۳ از ۴,بازسازی نشده,35.708930661133,51.461938010066,1.0,آسانسور ندارد,پارگینگ ندارد,انباری ندارد
10200000512,abbasi,94,1404.0,2.0,۳ از ۵,بازسازی نشده,35.664196014404,51.385177612305,2.0,آسانسور دارد,پارگینگ دارد,انباری دارد
30499999744,sadeghiyeh,190,1386.0,4.0,۴,بازسازی شده,35.721747746536,51.336586224259,1.0,آسانسور دارد,پارگینگ دارد,انباری دارد
19299999744,north-janat-abad,95,1394.0,2.0,۱ از ۵,بازسازی نشده,35.769110313094,51.308448765684,2.0,آسانسور دارد,پارگینگ دارد,انباری دارد
2700000000,vardavard,40,1402.0,1.0,۱,بازسازی نشده,35.7318525537,51.132751624003,,آسانسور دارد,پارگینگ دارد,انباری دارد
3000000000,azad-shahr,111,1404.0,2.0,۷ از ۱۸,بازسازی نشده,35.757468246646,51.184300913744,8.0,آسانسور دارد,پارگینگ دارد,انباری دارد
